1,sentence,何君信內所陳之意，必商之同志多人，並為康先生所許，方敢發此言也。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,traditional,何,君,信,內,所,陳,之,意,，,必,商,之,同志,多,人,，,並,為,康,先生,所,許,，,方,敢,發,此,言,也,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,POS,N,N,N,N,ADV,Vt,T,N,COMMACATEGORY,ADV,Vt,T,N,Vi,N,COMMACATEGORY,C,P,N,N,ADV,Vt,COMMACATEGORY,ADV,Vt,Vt,DET,N,T,PERIODCATEGORY,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,gloss,PN,ADDR,letter,inside,PRT,say,ATTR,idea,,must,discuss,ATTR,comrade,many,person,,also,PASS,Kang(Youwei),mister,PRT,permit,,only.if,dare,express,this,saying,SFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chr realization,⿰亻丂,君,信,内,所,陳,之,意,,必,商,之,同志,多,人,,並,為,康,先生,所,許,,方,敢,發,此,言,也,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mandarin,hé,jūn,xìn,nèi,suǒ,chén,zhī,yì,,bì,shāng,zhī,tóng|zhì,duō,rén,,bìng,wéi,kāng,xiān|sheng,suǒ,xǔ,,fāng,gǎn,fā,cǐ,yán,yě,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cantonese,ho4,gwan1,seon3,noi6,so2,can4,zi1,ji3,,bit1,soeng1,zi1,tung4zi3,do1,jan4,,bing6,wai4,hong1,sin1saang1,so2,heoi2,,fong1,gam2,faat3,ci2,jin4,jaa5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,KoreanUm,HA,KWUN,SIN,NEY,SO,CIN,CI,UY,,PHIL,SANG,CI,TONG|CI,TA,IN,,PYENG,WI,KANG,SEN|SAYNG,SO,HE,,PANG,KAM,PAL,CHA,EN ,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JapaneseKun,NANI,KIMI,MAKOTO,UCHI,TOKORO,TSURANERU,NO,KOKORO,,KANARAZU,OKINAU,NO,ONAJI|KOKOROZASHI,OOI,HITO,,NARABU,TAMA,YASUII,SAKI|HAERU,TOKORO,YURUSU,,KATA,AETE,HANATSU,KONO,IU,NARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,JapaneseOn,KA,KUN,SHIN,NAI,SHO,CHIN,SHI,I,,HITSU,SHOU,SHI,DOU|SHI,TA,NIN,,HEI,I,KOU,SEN|SEI ,SHO,KYO,,HOU,KAN,HATSU,SHI,GEN,YA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,stratum,名,古,古,古,古,古,古,古,,古,古,古,清,古,古,,古,古,名,古,古,古,,古,古,古,古,古,古,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,syntactic note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010次序,第一枚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2010頁碼,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2016頁碼,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,speaker,孫中山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,zh2,何樹齡先生信中的內容，必定已與眾多同志商討過，並得康有為先生所應許，才敢說出這一番言論。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,en2,The sentiments stated by Mr. (Shuling) He must be consulted with comrades and approved by Mr. (Youwei) Kang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,annotations,何：何樹齡　　康：康有為（1858−1927）　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
